12207 25558
%%1 eskaintzen
%%1 eta
%%1,3 gehiago
%%12ko merkatu
%%12ko merkatua
%%15 langileen
%%15 ordezkatu
%%16,2koa zen
%%16,8 igo
%%17,2koa eta
%%2,4an kokatu
%%2ko helburuaren_azpitik
%%3,7ko igoera
%%4,5ekoa izan
%%4,5era igo
%%4,5eraino igotzea
%%49,4 gehiago
%%49,4 igo
%%5 esportazioen
%%5 izan
%%52 esportazioen
%%52 eta
%%53 dator
%%53 frantziako
%%54,5ekoa izan
%%56rekin botoen
%%56rekin lortu
%%58,1 izan
%%78 gehiago
%%8,4koa zen
%%8,5ekoa izan
%%8,7 jaitsi
%%8,8 aitorpen
%%83 garestitu
%%86,7. gehien
%%86,7. guztien
%%9,2koa eta
%%9,2koa izan
%22 bete
%22 eskariaren
%4_gora dela
& gutuna_laurel
& hardy
' jatetxea
, abes
, abiatu
, adierazi
, adimenzalea
, agertu
, aipatzen
, altzari
, argi
, atsegin_badute
, auhenka
, aurrerakoi
, azaldu
, badakizu
, badut
, baina
, bake
, batzu
, batzuren_artean
, behar
, behar_dute
, beharko
, berotu
, besarkatuko
, besarkatzen
, betaginekin
, bete
, bihurtuko
, bilatzen
, bildurgarriekin
, bizi_da
, bizimodu
, borotrari
, bultzatzen
, da
, dago
, dantzan
, dator
, datozela
, delikadezak
, demokratiko
, den
, denak
, desiratzen
, dira
, du
, dugu
, dut
, edan
, edukiko
, egin
, eginbideez_gainera
, egingo
, egiteko
, elur
, eman
, emango
, erantsiz
, esango
, eta
, euskal_herria
, ezagutu
, ezagutzen
, ezin_dut
, federico_castillo-olivares
, fineziak
, gara
, garbitu
, gauza
, geratu
, gertatzen
, gogogabetzen
, gogorrak
, gordeaz
, gordelekuaren
, guztira
, hartuz
, hartzen
, hedaysarum
, herrira
, hitzegingo
, hitzeman
, igo
, imajinatu
, indar
, iristen
, iritzi
, ispilu
, izan
, izanen
, izango
, izuturik
, jakin
, jarri
, jo
, joan
, joaten
, jokatu
, kadira
, kanporatzen
, komandorik
, kontatuko
, kontseilaria
, kshirikaren
, larru
, larrutu
, laztandu
, lehendakaria
, lortzen
, lotzen
, lurrera
, menturaren
, misterioa
, nahi_dute
, nahi_ninan
, onesten
, oroimena
, oroitaraz
, osatu
, osaturik
, ospatuko
, pentsamendua
, politiko
, puntu
, razionalista
, saiatuko
, saiatzen
, sendimenduak
, sentiberatasunak
, sindikalen
, sirena
, somatzeko
, sorbeteak
, sortzen
, sozial
, sudurrarekin
, suntsitzen
, tinkoak
, tisanak
, txalotzen
, ulertzeko
, ur
, ura
, urak
, urdin
, usnaka
, utzi
, zabalduta
, zaharturik
, zangoekin
, zela
, zen
, zetozen
, zimurrak
, zinela
, ziren
, zuen
, zumoak
,_estatu idazkaria
,_gabeko baliorik
,_idiart apezak
,_ignazioren san
,_jon_imaz josu
,_orejaz_gain mayor
- da
- esan
. pertsona
1,5. aberatsei
1-eko herrialdeen
1. gutuna
1.028 milioi
1.028_milioi irabazi
1.129 pertsona
1.550_milioi pezetak
1.550_milioiak etor
1.550_milioiak jasotako
1.624_milioi pezetakoa
100.260_milioi pezetako
10`30etatik 14`00etara
10`30etatik goizeko
11 herrialdeetatik
11. gutuna
11.145_milioi pezetako
111.529 kasutan
120_mila_milioi liberetan
128 urteko
12_mila_milioi libera
13 lagun
13. soldataren
13.000 funtzionari
132 funtzionario-gai
13an irailaren
14 lanpostutarako
14. gutuna
141 aurkeztu
14`00etara eta
15 lagun
15 urte
15.126 itzuli
150 urte
157 itsasiontzi
159 ia
159 pertsona
15_milioi dolar
15etik apirilaren
15etik apirilaren_aurrera
16 adituren
16 gazteren
16 plangintzak
16 urteko
16-24 unitate
160 baja
163 gradu
16`30etatik iluntzeko
