36865 197318
#albarca anomenat
'hi Penso
'hi adherir
'hi afegir
'hi connectar
'hi deixant
'hi desplaçar
'hi estar
'hi personar
'hi sumar
'ho desaconsellar
'ho muntar
'l convida
'l disputaven
'l escapar
'l prendre
'l recordarà
'l reprendre
'l veure
'ls acusar
'ls assigna
'ls atribueix
'ls combatre
'ls disputen
'ls donar
'ls ericés
'ls estalviaran
'ls fan
'ls garanteixi
'ls gasta
'ls imputa
'ls inscriure
'ls instava
'ls lliurarà
'ls mimat
'ls oferir
'ls pagar
'ls pagui
'ls penjava
'ls practica
'ls prescrit
'ls prohibirà
'ls queda
'ls reconegui
'ls retirar
'ls sotmetre
'ls substituir
'ls tallar
'ls tornin
'ls treu
'ls vist
'm Expliqui
'n Agafi
'n adonar
'n anar
'n centenars
'n confirmés
'n conserven
'n consumeix
'n deriven
'n derivi
'n derivin
'n desconeix
'n desentendre
'n desentén
'n despendre
'n desprendre
'n destacar
'n dir
'n donen
'n emportar
'n estendre
'n faci
'n fan
'n faran
'n farà
'n farà_càrrec
'n fes_càrrec
'n prendre
'n preparen
'n presentar
'n preveure
'n projecta
'n quedar
'n recorden
'n registrar
'n ressenti
'n resum
'n salvar
'n sortir
'n subratlla
'n surt
'n surten
'n tingui
'n treure
'n va
'n vagi
'n vaig
'ns escapa
'ns escoltarà
'ns fet
'ns informi
'ns quedaran
'ns tractat
'ns valdre
's Imagini
's Queixi
's asseure
's creure
's emetre
's entendre
's estendre
's inscriure
's interrompre
's perdre
's sotmetre
's treure
's vendre
's veure
, felicitacions
, masculins
, mortals
, nosaltres
, pel
, per
, pobres
, sinó
- 500
- 64
- desplaçaments
- i
- milions
- secretari
- transport
-0,10 Extremadura
-0,16 Melilla
-0,58 Múrcia
-1 al
-1 entre
-1 graus
-1 i
-1,32 185
-1,91_% 1.839
-1,97_% 941
-2 graus
-2,08 Astúries
-2,09 Castella_i_Lleó
-2,43 Andalusia
-2,66 Catalunya
-2,90 Comunitat_Valenciana
-3% Nissan
-3,02 mitjana
-3,02_% 2.645
-3,65 Galícia
-3,68 Ceuta
-3,74_% 2.493
-3,91 Madrid
-3.052 País_Basc
-3.098 Castella-la_Manxa
-3.950 Comunitat_Valenciana
-4 -9
-4,02_% 496
-4,17 Castella-la_Manxa
-4,25 Navarra
-4,50 Aragó
-4,98_% 65
-4.332 Catalunya
-5 a
-5 entre
-5 graus
-5 i
-5,76_% 1.065
-5.052 Galícia
-5.729 Balears
-6,20 La_Rioja
-6,44_per_cent Cantàbria
-7.201 Madrid
-9 al
-9 entre
-9 i
-9,95_per_cent 17.538
-Fpa- diumenges
-Fpa- divendres
-Fpa- i
-Fpa- visitar
-LSB- Artur
-LSB- CiU
-LSB- Francesc
-LSB- José_Luis
-LSB- Manuel
-LSB- Miquel
-LSB- PSOE
-LSB- de
-RSB- Artur
-RSB- CiU
-RSB- Francesc
-RSB- José_Luis
-RSB- Manuel
-RSB- Miquel
-RSB- PSOE
-RSB- de
-_lo obtenir
-hi Entrar
-hi Incloent
-hi a_terme
-hi accedir
-hi actuar
-hi adequar
-hi afegir
-hi anar
-hi arribar
-hi cantar
-hi connectar
-hi construir
-hi contribuir
-hi donar
-hi edificar
-hi encabir
-hi entrar
-hi enviar
-hi fer
-hi front
-hi havent
-hi haver
-hi incidir
-hi incloent
-hi incloure
-hi incorporat
-hi invertir
-hi participar
-hi plantar
-hi posar
-hi presentar
-hi realitzar
-hi ser
-hi situar
-hi sumar
-hi tenir
-hi tornar
-hi trobar
-hi veure
-ho Intentar
-ho aconseguir
-ho argumentar
-ho celebrar
-ho commemorar
-ho consultar
-ho coordinar
-ho decidir
-ho deixar
-ho dir
-ho essent
-ho estar
-ho estudiar
-ho fer
-ho fet
-ho forçar
-ho frenar
-ho impedir
-ho obtenir
-ho passar
-ho pensar
-ho posar
-ho recordem
-ho regular
-ho resoldre
-ho saber
-ho ser
-ho solucionar
-ho tenir
-l Penso
-la abaixar
-la abordar
-la acceptant
-la acollir
-la aconseguir
-la ajudar
-la amenaçant
-la analitzar
-la anunciar
-la apujar
-la arraconar
-la atrapar
-la autoritzar
-la beneir
-la calmar
-la citar
-la colpejar
-la comercialitzar
-la considerar
-la convertir
-la convèncer
-la derivant
-la despertar
-la desposseint
-la destruir
-la dignificar
-la disparar
-la distribuir
-la divulgar
-la donar
-la dormir
-la dur
-la encomanar
-la endur
-la entenent
-la enviant
-la estenent
-la exercir
-la explorar
-la facilitar
-la fent
-la fer
-la fusionar
-la inaugurar
-la incorporant
-la inspeccionar
-la internacionalitzar
-la introduir
-la jugant
-la juguem
-la llegir
-la llençar
-la lligant
-la negant
-la obligar
-la oferir
-la paralitzar
-la penetrar
-la pentinant
-la perseguir
-la plantejar
-la portant
-la portar
-la practicar
-la prendre
-la presentar
-la reanimar
-la reconduir
-la recuperar
-la reequilibrar
-la reforçar
-la reprimir
-la resoldre
-la revestir
-la revocar
-la segrestar
-la servir
