20409 45642
! !
! .
! :
! Aman
! Bana_ne
! Başkanı
! Biliyorum
! Ceza
! Durun
! Ederim
! Efendi
! Erkekler_Parkı
! Giir
! Gitmeyin
! Hadi
! Hayal
! Hayır
! Mersedes
! Ne
! Otur
! Oysa
! Sen
! Tamam
! Uy
! Uzat
! Vay_anam_vay
! Yanlış
! _
! aldattın
! anlamıyorsun
! açma
! bacağısın
! bende
! bilemiyorum
! bilir
! bir_şey
! buydu
! cesaret_edersin
! damlıyordu
! dedi
! dedim
! derim
! desek
! değiştirebilir
! dikkat_ediniz
! diye
! duruyordun
! emmioğlu
! evde_kaldım
! geçiyor
! girdik
! git
! gördüler
! görüşürüz
! güzel
! hakkı_vardır
! hazırsın
! hissedemezler
! işte
! kadın
! kaldır
! kalk
! kapa
! karı
! karıştırıyordu
! korkması
! korkusu
! koruyacağım
! koş
! kulaklı
! kız
! laf
! limon
! makinem
! nedenle
! olabilir
! olmaz
! olsun
! oluyorum
! otur
! reddedilirsem
! sanıyorum
! sevdim
! sevsinler
! silmem
! sonra
! söyler
! tamam
! uğramış
! var
! vereceksin
! vermiş
! versin
! vız_gelir
! ya
! yaklaştı
! yapamam
! yapıyorlar
! yazmak
! yer_yok
! yok
! çalışıyordu
! çalışıyordum
! çirkinmiş
! çocuğu
! çırpınma
! önerseydin
! İyi
! Şangır
! Şostakoviç'miş
! şey
! şeydi
" ?
" Ama
" Ancak
" Gideceksin
" _
" alacaktır
" benim
" biliyordum
" bilmiyoruz
" bitmiştir
" bırakılamaz
" dedi
" demiş
" devam_edeceğiz
" dinleyeceğim
" diye
" diyor
" döndüm
" düşünüyoruz
" ekiyoruz
" gerek_yok
" gerekiyor
" gidiyoruz
" görevim
" görünüyor
" haline_gelecek
" ihmal_edemeyiz
" inanmıyorum
" ise
" istediler
" istemiyorum
" isterim
" istiyordum
" istiyorum
" kalkar
" konuşabilmeli
" koymam
" neden_oldu
" olabilir
" olmadı
" oluyoruz
" reşit_oldu
" sonu_olacaktır
" sorgulanmalı
" söyledi
" tartışılacak
" yapacaklar
" yapar
" yaptı
" yaşıyoruz
" yeter
" yok
" yürüyor
" yürüyoruz
" çalışacağız
" çelişiyor
" çıktım
" ölürüm
" önem_taşıyor
" önlemek
" üzüldüm
' cinsi
( )
) ,
) Upper_House
) al_işte
) annem
) bakıyor
) başlamıştık
) dalıp_gidiyor
) ile
) kalmamış
) okur
) okurdu
) on
) onaylıyorlar
) taş_çıkartırdı
) yaşatıyor
) çakıyoruz
, ,
, .
, ;
, ?
, Abdülbaki_Dalar
, Acıyorum
, Adam
, Adana
, Ah
, Akbank
, Akılsız
, Al
, Allah_rahmet_eylesin
, Almanya
, Ama
, Aman
, Anayasa'yla
, Ancak
, Ankara
, Ankara_Atatürk_Lisesi'nde
, Ankara_Hukuk_Fakültesi'nde
, Anlamadıkları
, Anlat
, Antalya
, Arat
, Ayağımıza
, Ayrıca
, Açma
, Ağır
, Aşırı
, BMW
, Baba
, Bahçesi
, Bak
, Bakarız
, Bakma
, Baktım
, Bakın
, Bastır
, Bağışlayın
, Başbakan
, Başla
, Behzat_Kulur
, Benim
, Beyefendi
, Beğendi
, Biber
, Bilgili
